iter	RMSE
0	14.06891364
1	13.14735278
2	12.31049021
3	11.55905079
4	10.9161823
5	10.36466341
6	9.829584164
7	9.322467392
8	8.888640227
9	8.492840979
10	8.146931566
11	7.868960455
12	7.606210877
13	7.411796599
14	7.192586789
15	6.973778216
16	6.81900878
17	6.662284185
18	6.514949331
19	6.38580205
20	6.276333864
21	6.177358292
22	6.076125864
23	5.986764041
24	5.917070546
25	5.853614101
26	5.785320534
27	5.736532461
28	5.699539316
29	5.639874833
30	5.589591201
31	5.556786543
32	5.522196019
33	5.488121947
34	5.457785208
35	5.432673874
36	5.40831798
37	5.388513642
38	5.367967041
39	5.34049061
40	5.317267259
41	5.302764274
42	5.281865239
43	5.268679743
44	5.25443097
45	5.235844803
46	5.218416817
47	5.207817858
48	5.189463867
49	5.173461143
50	5.153528949
51	5.142762223
52	5.130577819
53	5.120981242
54	5.107793109
55	5.093637363
56	5.084187519
57	5.074062385
58	5.06376345
59	5.053065312
60	5.040254073
61	5.030559943
62	5.024390245
63	5.010823925
64	5.004385371
65	4.995089153
66	4.986174536
67	4.976170198
68	4.96619694
69	4.956851284
70	4.948771868
71	4.937948233
72	4.931643712
73	4.921396314
74	4.915609745
75	4.908877577
76	4.905340485
77	4.896534025
78	4.889261321
79	4.88243913
80	4.87381035
81	4.865031872
82	4.855671105
83	4.84908045
84	4.842118936
85	4.835410673
86	4.828710107
87	4.821473506
88	4.816163123
89	4.808793504
90	4.804661123
91	4.798435215
92	4.791278266
93	4.784379886
94	4.772065066
95	4.758762129
96	4.748673574
97	4.736418899
98	4.728840921
99	4.717803873
